timestamp,dest,src,rssi
"07/03/2024,15:07:49.787175",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-56
"07/03/2024,15:07:51.110300",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-55
"07/03/2024,15:07:51.406873",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-55
"07/03/2024,15:07:51.694805",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:07:51.919070",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-59
"07/03/2024,15:07:52.257454",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-60
"07/03/2024,15:07:52.510444",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-57
"07/03/2024,15:07:52.723298",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-57
"07/03/2024,15:07:52.919396",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:07:52.971655",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-56
"07/03/2024,15:07:53.031861",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:07:53.370770",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:07:53.683759",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-59
"07/03/2024,15:07:53.726339",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-59
"07/03/2024,15:07:53.811636",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:07:54.078796",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:07:54.384563",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:07:54.618877",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:07:54.819918",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:07:55.262769",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-57
"07/03/2024,15:07:55.956806",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-57
"07/03/2024,15:07:56.376950",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-59
"07/03/2024,15:07:56.696086",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-57
