timestamp,dest,src,rssi
"07/03/2024,15:15:05.902307",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:15:06.101543",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-60
"07/03/2024,15:15:06.171669",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:15:06.325387",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:15:06.379671",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:15:06.568358",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:15:13.174103",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-51
"07/03/2024,15:15:13.432103",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-49
"07/03/2024,15:15:13.779238",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-50
"07/03/2024,15:15:14.127349",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-49
"07/03/2024,15:15:14.254928",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-49
"07/03/2024,15:15:14.638804",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-48
"07/03/2024,15:15:15.143468",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-56
"07/03/2024,15:15:16.184448",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-52
"07/03/2024,15:15:16.909679",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-44
"07/03/2024,15:15:17.039052",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-44
"07/03/2024,15:15:17.691383",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-44
"07/03/2024,15:15:17.948036",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-41
"07/03/2024,15:15:18.199748",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-42
"07/03/2024,15:15:19.295553",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-40
"07/03/2024,15:15:19.521130",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-53
"07/03/2024,15:15:20.281041",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-47
"07/03/2024,15:15:24.204841",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:15:24.439647",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-56
"07/03/2024,15:15:25.263336",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-61
"07/03/2024,15:15:25.850056",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:15:26.285010",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-59
"07/03/2024,15:15:27.064315",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-60
"07/03/2024,15:15:28.690906",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-62
"07/03/2024,15:15:29.572081",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-62
"07/03/2024,15:15:29.888658",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-66
"07/03/2024,15:15:32.221621",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-66
"07/03/2024,15:15:32.497779",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-66
"07/03/2024,15:15:33.150249",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-64
"07/03/2024,15:15:33.503162",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-63
"07/03/2024,15:15:33.737543",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-66
